## File generated by myo_cap software 
## Available from github.com/ddantas/myo_cap 
## Timestamp: 2018-12-17_16-23-03 
##  
## EMG capture settings 
##  
# sampleRate: 2000 
# channelsPerBoard: 4 
# nBoards: 1 
# bitsPerSample: 12 
# %d;%d;%d;%d
0;0;0;0
14;0;0;0
26;14;0;0
30;26;6;0
46;56;47;45
62;79;98;109
90;130;166;194
118;175;246;299
138;187;298;352
142;202;330;384
142;202;334;392
170;239;370;427
186;270;378;441
194;283;386;426
194;283;384;424
190;274;370;426
170;250;370;419
138;200;322;369
110;171;278;328
90;142;234;296
74;114;194;240
38;51;98;136
10;2;2;8
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
6;0;0;0
22;10;0;0
30;26;0;0
42;47;38;27
58;74;86;90
78;107;150;168
110;168;230;273
130;178;288;338
142;194;318;376
142;202;330;384
160;226;358;416
182;264;370;433
194;282;384;425
198;288;386;424
190;280;378;435
174;258;362;419
150;218;335;384
122;194;302;346
96;154;254;319
78;122;218;275
46;66;128;155
15;15;34;50
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
2;0;0;0
14;0;0;0
26;14;0;0
34;32;6;0
58;67;66;66
74;98;128;128
102;147;198;232
130;170;266;312
138;186;306;360
142;200;326;384
150;211;346;408
174;251;386;427
190;274;378;440
194;282;384;424
194;282;378;434
186;270;366;424
162;235;358;408
128;178;302;352
106;163;262;306
86;130;206;264
62;91;162;194
30;34;66;88
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
10;0;0;0
26;14;0;0
34;32;10;0
46;51;50;56
62;79;98;112
90;130;166;195
118;178;250;306
134;187;302;360
142;195;326;384
142;202;334;392
166;235;370;427
186;267;374;440
194;282;384;426
198;288;386;424
190;274;370;425
170;250;370;417
138;202;326;371
110;174;282;328
90;142;234;297
74;110;190;238
34;50;94;131
10;0;0;2
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
6;0;0;0
22;10;0;0
26;19;0;0
46;46;34;24
58;74;86;91
86;115;154;168
110;168;230;274
130;178;288;344
142;194;318;376
142;200;330;384
158;226;362;418
186;266;370;433
194;282;386;427
194;282;386;427
190;282;382;440
182;264;362;418
150;218;338;387
122;192;298;344
98;154;246;312
78;122;218;272
46;66;128;152
15;11;32;48
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
2;0;0;0
15;2;0;0
30;18;0;0
38;34;14;0
54;66;70;73
74;98;130;128
102;147;202;235
128;170;266;312
138;187;310;364
142;195;326;386
150;210;346;403
175;255;386;424
190;274;378;440
194;288;386;426
198;288;384;418
186;270;366;424
162;234;354;401
130;184;303;352
106;168;266;312
86;130;206;264
62;91;154;184
30;34;62;83
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
2;0;0;0
10;0;0;0
22;10;0;0
34;32;2;0
47;59;58;57
66;83;102;120
94;131;170;202
122;186;255;312
138;190;302;360
142;200;330;384
142;202;334;392
170;242;378;430
190;274;378;440
194;282;384;425
194;282;386;426
190;275;374;432
174;251;370;416
138;200;322;368
110;174;278;328
94;146;230;290
70;107;190;239
38;50;94;128
6;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
