## File generated by myo_cap software
## Available from github.com/ddantas/myo_cap
## Timestamp: 2018-05-23_20-57-32
##
## EMG capture settings##
# sampleRate: 2000
# channelsPerBoard: 4
# nBoards: 1
# bitsPerSample: 12
##
## Data
## t;ch0;ch1;...;ch(channelsPerBoard * nBoards - 1)
172;254;252;228
61;129;138;136
0;1;18;28
0;0;0;0
0;0;0;0
0;0;0;0
4;0;0;0
24;13;18;23
40;42;58;87
66;85;121;128
89;127;134;136
116;157;143;137
198;256;265;258
258;333;325;305
250;338;328;292
185;262;259;251
74;136;134;132
0;4;17;24
0;0;0;0
0;0;0;0
0;0;0;0
3;0;0;0
16;9;7;14
33;33;47;73
49;60;91;128
69;105;139;137
107;132;153;136
151;185;200;219
259;335;318;288
261;336;329;304
206;281;250;252
125;173;177;171
10;25;52;79
0;0;0;1
0;0;0;0
0;0;0;0
0;0;0;0
11;0;0;1
22;11;13;15
42;43;55;80
60;82;121;138
93;135;134;133
124;146;135;137
250;286;261;255
267;329;317;293
227;315;281;260
154;236;255;245
31;89;137;136
0;0;12;21
0;0;0;0
0;0;0;0
0;0;0;0
6;0;0;0
23;16;14;33
41;45;60;99
55;77;117;139
88;129;139;132
113;136;141;133
217;261;250;249
266;330;323;302
233;325;296;254
168;250;253;252
62;130;134;136
0;2;20;40
0;0;0;1
0;0;0;0
0;0;0;0
10;0;1;1
26;14;22;36
34;37;47;76
54;72;103;139
79;121;137;133
116;140;134;135
214;256;252;256
267;348;348;350
249;338;330;315
176;253;256;242
74;125;137;129
0;0;9;9
0;0;0;0
0;0;0;0
0;0;0;0
2;0;0;1
15;1;2;2
23;18;18;23
43;48;65;94
70;99;134;130
96;134;135;147
124;138;136;136
244;297;257;249
259;333;313;279
225;308;268;249
147;224;249;248
21;74;133;141
0;0;10;21
0;0;0;0
0;0;0;0
0;0;0;1
5;0;0;0
21;10;5;4
34;33;37;51
54;70;95;130
74;118;127;138
113;147;131;143
193;254;229;258
263;345;336;336
250;345;332;317
181;260;252;246
81;139;135;133
0;1;18;27
0;0;0;0
0;0;0;0
0;0;0;0
2;0;0;0
20;8;10;14
30;23;31;39
49;55;82;122
75;111;128;133
113;135;131;134
157;192;206;221
259;340;324;302
260;335;328;310
204;279;258;256
126;169;170;166
8;16;42;66
0;0;0;1
0;0;0;0
0;0;0;0
0;0;0;0
11;0;0;0
22;15;15;18
46;50;70;102
67;98;133;136
91;136;141;138
124;154;145;135
257;293;261;254
262;355;350;336
222;318;297;267
138;221;245;250
18;71;125;126
0;0;6;14
0;0;0;0
0;0;0;0
0;0;0;0
5;0;0;0
18;7;4;2
34;30;36;45
52;65;89;127
74;112;137;126
