## File generated by myo_cap software
## Available from github.com/ddantas/myo_cap
## Timestamp: 2018-05-23_20-57-32
##
## EMG capture settings##
# sampleRate: 2000.0
# channelsPerBoard: 4.0
# nBoards: 1.0
# bitsPerSample: 12.0
##
## Data
## t; ch0; ch1; ch2; ch3
83 112 136 121
145 185 198 210
222 287 256 252
252 308 285 253
218 285 258 259
160 232 248 261
56 128 127 131
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
2 0 0 0
9 0 0 0
21 11 1 0
46 45 50 58
103 131 127 134
169 217 241 236
245 321 307 268
251 337 326 285
197 267 265 242
138 194 210 220
1 38 60 90
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
3 0 0 0
17 2 0 0
25 20 13 7
57 72 90 116
125 142 138 136
187 242 243 241
252 334 321 292
241 305 283 259
194 255 256 260
124 171 168 160
0 1 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
6 0 0 0
12 1 0 0
29 23 18 15
68 88 115 124
133 153 148 139
203 253 258 253
254 298 275 269
230 300 259 254
180 254 241 252
98 164 148 138
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
6 0 0 0
19 7 0 0
31 31 25 26
83 114 131 121
137 172 177 174
218 272 259 252
251 325 303 264
219 294 258 243
157 233 251 253
53 126 134 124
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 0 0 0
14 0 0 0
22 8 1 0
50 54 61 76
111 135 133 137
170 210 227 249
249 319 301 266
249 340 324 287
203 280 254 259
133 198 212 231
7 51 82 120
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
3 0 0 0
10 0 0 0
25 18 14 9
66 81 106 129
129 167 167 160
192 258 246 257
252 334 318 277
240 303 277 248
181 253 253 252
108 184 178 164
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
3 0 0 0
17 5 0 0
34 25 24 15
84 110 133 119
137 171 172 170
210 262 261 255
251 321 296 252
218 295 260 259
160 244 250 249
53 124 132 132
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 0 0 0
9 0 0 0
18 11 1 0
38 43 42 48
103 129 135 127
166 210 238 226
248 301 279 259
255 312 285 248
206 267 260 233
131 184 194 199
15 49 74 105
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
5 0 0 0
12 1 0 0
23 14 3 0
57 67 81 105
129 137 154 142
192 244 244 254
255 317 300 260
248 305 278 250
192 255 257 245
117 178 184 166
0 1 2 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 0 0 0
19 2 0 0
30 26 21 21
71 92 117 127
129 154 148 132
199 253 246 251
251 312 289 255
230 302 266 255
169 249 254 247
84 152 136 129
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
3 0 0 0
20 5 1 0
35 31 26 26
81 111 134 117
146 183 194 201
222 286 259 261
255 302 275 270
219 283 255 259
160 233 257 238
55 129 130 131
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 0 0 0
14 0 0 0
22 14 4 1
55 64 79 103
117 138 136 133
175 228 252 254
251 309 295 269
248 306 279 256
198 258 252 252
130 199 208 221
0 26 41 55
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
2 0 0 0
16 3 0 0
26 22 12 8
71 92 123 126
129 152 155 147
201 257 256 246
254 300 281 257
230 301 259 250
177 252 255 248
93 159 147 136
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
3 0 0 0
17 4 1 0
32 26 25 21
82 111 135 126
137 171 175 175
219 274 257 249
251 304 283 248
224 290 258 249
161 231 246 252
61 130 133 128
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
13 1 0 0
25 15 7 1
54 60 73 101
121 133 140 133
177 216 242 236
254 308 296 268
254 303 279 257
194 253 255 260
121 187 192 193
0 29 41 54
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
2 0 0 0
15 3 0 0
26 16 7 1
63 80 99 131
128 146 138 138
195 246 252 241
253 307 289 261
242 291 259 245
189 258 246 251
117 173 164 146
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
6 0 0 0
14 1 0 0
29 20 12 3
72 91 121 132
133 150 154 141
202 254 253 258
253 334 314 274
231 317 284 248
174 254 243 251
100 169 157 133
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
8 0 0 0
19 8 1 0
38 39 38 44
90 122 132 133
142 177 184 189
223 284 256 254
251 304 279 262
216 278 261 253
155 220 250 253
44 112 135 134
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 0 0 0
13 0 0 0
23 16 7 2
51 58 69 88
116 129 133 131
179 228 248 249
252 332 316 285
246 330 311 265
190 263 256 240
127 207 230 244
0 35 62 89
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
4 0 0 0
16 4 0 0
32 28 23 21
71 92 117 129
131 156 155 138
202 251 255 252
252 306 280 250
233 306 263 255
173 251 258 243
90 155 147 137
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
8 0 0 0
19 10 1 0
41 43 44 54
91 129 130 129
142 183 194 196
224 287 252 260
252 328 304 265
216 294 254 250
152 228 251 251
42 111 134 133
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
8 0 0 0
22 10 4 0
45 52 55 70
114 132 135 137
176 220 244 239
251 306 295 262
250 331 311 266
198 268 260 238
133 181 194 198
0 23 42 53
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
2 0 0 0
16 3 0 0
31 24 22 21
76 94 126 124
134 165 163 158
206 257 259 249
257 305 283 256
230 303 266 252
181 254 245 254
99 165 152 132
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
10 0 0 0
21 9 2 0
33 35 28 29
87 119 131 121
139 174 177 180
219 275 258 247
253 295 272 260
214 276 252 248
151 215 244 245
43 114 145 133
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
3 0 0 0
11 0 0 0
25 17 7 2
55 68 81 109
122 149 133 149
173 225 243 248
252 312 292 260
249 306 273 258
194 257 253 244
127 195 208 213
0 27 43 58
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
5 0 0 0
13 1 0 0
30 23 17 10
77 102 132 130
130 181 190 199
212 273 257 254
249 331 307 266
224 308 270 249
166 247 255 233
61 129 140 127
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
8 0 0 0
21 8 1 0
42 44 49 57
99 130 132 130
149 183 196 198
231 298 264 259
252 310 288 256
216 280 256 253
141 205 221 246
30 77 124 131
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 0 0 0
16 2 0 0
25 19 12 6
61 69 91 116
129 142 134 138
190 243 245 241
255 312 295 257
242 298 265 250
191 254 259 245
123 166 172 164
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
6 0 0 0
16 3 0 0
24 26 19 20
73 98 127 123
130 157 158 144
202 254 251 254
255 301 275 265
236 314 272 256
181 257 244 253
93 160 142 130
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
7 0 0 0
14 2 0 0
32 24 21 14
83 111 135 120
147 179 191 196
215 272 258 257
251 323 304 268
219 295 259 248
162 244 243 239
54 122 133 133
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
11 0 0 0
21 11 2 0
51 57 67 88
114 130 135 136
177 220 248 245
252 306 296 266
254 306 284 248
197 260 254 231
129 178 185 179
0 24 33 36
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 0 0 0
16 3 0 0
27 20 19 11
70 84 117 119
133 151 150 135
195 256 247 243
252 312 298 261
236 318 285 255
178 254 243 250
101 172 160 136
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
9 0 0 0
21 11 0 0
41 42 45 56
87 121 132 129
151 193 210 231
227 292 264 258
252 310 283 248
213 280 258 249
153 219 246 247
38 97 136 131
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 0 0 0
12 0 0 0
21 12 4 0
54 60 75 97
113 127 137 134
180 223 245 247
253 309 291 259
254 303 279 258
191 253 255 248
128 197 208 218
0 33 55 80
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 0 0 0
