## File generated by myo_cap software 
## Available from github.com/ddantas/myo_cap 
## Timestamp: 2019-02-04_16-18-50 
##  
## EMG capture settings 
##  
# sampleRate: 2000 
# channelsPerBoard: 4 
# nBoards: 1 
# bitsPerSample: 12 
# ch/%d;%d;%d;%d;lp/%d;%d;%d;%d;%d;%d;%d;%d;%d;%d;%d;%d;%d;%d;%d;
0;0;0;0;54;84;84;96;97;97;2;5;5;4;8;8;4;11;11;
0;0;0;0;56;84;84;96;97;97;2;5;5;4;8;8;4;11;11;
0;0;0;0;59;84;84;95;97;97;2;5;5;3;7;7;3;11;11;
0;0;0;0;59;84;84;95;97;97;2;5;5;3;7;7;3;11;11;
0;0;0;0;59;84;84;95;97;97;2;5;5;3;7;7;3;11;11;
0;0;0;0;59;84;84;95;97;97;2;5;5;3;7;7;3;11;11;
0;0;0;0;59;84;84;95;97;97;2;5;5;3;7;7;3;11;11;
0;0;0;0;59;84;84;95;97;97;2;5;5;3;7;7;3;11;11;
0;0;0;0;59;84;84;95;97;97;2;5;5;3;7;7;3;11;11;
0;0;0;0;61;85;85;96;98;98;2;5;5;2;8;8;2;12;12;
0;0;0;0;61;85;85;96;98;98;2;5;5;2;8;8;2;12;12;
0;0;0;0;61;85;85;96;98;98;2;5;5;2;8;8;2;12;12;
0;0;0;0;61;85;85;96;98;98;2;5;5;2;8;8;2;12;12;
0;0;0;0;61;85;85;96;98;98;2;5;5;2;8;8;2;12;12;
0;0;0;0;61;85;85;96;98;98;2;5;5;2;8;8;2;12;12;
0;0;0;0;61;85;85;96;98;98;2;5;5;2;8;8;2;12;12;
0;0;0;0;61;85;85;96;98;98;2;5;5;2;8;8;2;12;12;
0;0;0;0;61;85;85;96;98;98;2;5;5;2;8;8;2;12;12;
0;0;0;0;61;85;85;96;98;98;2;5;5;2;8;8;2;12;12;
0;0;0;0;61;85;85;96;98;98;2;5;5;2;8;8;2;12;12;
0;0;0;0;61;85;85;96;98;98;2;5;5;2;8;8;2;12;12;
0;0;0;0;61;85;85;96;98;98;2;5;5;2;8;8;2;12;12;
0;0;0;0;61;85;85;96;98;98;2;5;5;2;8;8;2;12;12;
0;0;0;0;61;85;85;96;98;98;2;5;5;2;8;8;2;12;12;
0;0;0;0;61;85;85;96;98;98;2;5;5;2;8;8;2;12;12;
0;0;0;0;61;85;85;96;98;98;2;5;5;2;8;8;2;12;12;
0;0;0;0;61;85;85;96;98;98;2;5;5;2;8;8;2;12;12;
0;0;0;0;61;85;85;96;98;98;2;5;5;2;8;8;2;12;12;
0;0;0;0;61;85;85;96;98;98;2;5;5;2;8;8;2;12;12;
0;0;0;0;61;85;85;96;98;98;2;5;5;2;8;8;2;12;12;
0;0;0;0;61;85;85;96;98;98;2;5;5;2;8;8;2;12;12;
0;0;0;0;61;85;85;96;98;98;2;5;5;2;8;8;2;12;12;
0;0;0;0;61;85;85;96;98;98;2;5;5;2;8;8;2;12;12;
0;0;0;0;61;85;85;96;98;98;2;5;5;2;8;8;2;12;12;
0;0;0;0;61;85;85;96;98;98;2;5;5;2;8;8;2;12;12;
0;0;0;0;61;85;85;96;98;98;2;5;5;2;8;8;2;12;12;
0;0;0;0;61;85;85;96;98;98;2;5;5;2;8;8;2;12;12;
